contract_id,title,supplier,value,value_note,date,sites,catchments,source,confidence,notes
micro_gt_22sites,Galliford Try — asset upgrades across 22 sites,Galliford Try Construction Limited,,No project-specific value published. GT framework is £600m total but per-project values not disclosed.,2024-01,Petersfield,ROTHER,https://www.hanevo.com/galliford-try,medium,"Petersfield is the only named site from a 22-site programme. No project value or list of other 21 sites published. The £600m figure is the overall GT framework, NOT this project."
micro_gt_budds_farm,Galliford Try / Hanevo — Budds Farm digestion system,Galliford Try Construction Limited,,No value published.,2022-01,Budds Farm,LANGSTONE HARBOUR,https://www.hanevo.com/hanevo-awarded-budds-farm-contract,high,Hanevo sub-contracted for mechanical design of pipework and process feeds for new digestion system.
micro_gt_boldre,Galliford Try (GTb) — Boldre WWTW ferric dosing + humus tanks,Galliford Try Construction Limited,2500000,Confirmed single-site value.,2024-10,Boldre,LYMINGTON,https://www.southernwater.co.uk/latest-news/25m-project-to-improve-water-quality-in-the-new-forest/,high,New ferric dosing and humus tanks. GTb = Galliford Try Environment + Binnies UK.
micro_gt_slowhill,Galliford Try (GTb) — Slowhill Copse UV + ferric + storm tanks,Galliford Try Construction Limited,18000000,Confirmed. Part of wider £63m Southampton Water programme.,2024-01,Slowhill Copse,SOUTHAMPTON WATER,https://www.watermagazine.co.uk/2024/01/22/new-ultraviolet-technology-boosts-water-treatment-process-in-southampton-area/,high,"UV, ferric dosing, storm tanks. Shellfish protection programme."
micro_barhale_ashford,Barhale — Ashford WWTW expansion,Barhale Limited,12000000,Confirmed single-site value. Source says £12.6m.,2015-01,Ashford,STOUR,https://www.barhale.co.uk/news/old-assets-to-help-build-new-capacity/,high,"Historical (AMP5). Population equivalent 100,000."
micro_edina_chp,Edina — CHP engine upgrades at 5 treatment works,Edina Group,,No value published.,2023-01,Goddards Green; Budds Farm; Millbrook; Fullerton; Gravesend,ADUR; LANGSTONE HARBOUR; SOUTHAMPTON WATER; TEST; THAMES,https://www.edina.eu/news/edina-wins-contract-upgrade-sussex-southern-water-chp-plant,high,MWM-manufactured CHP engines. Goddards Green: TCG 2016 V16 800kWe.
micro_midkent_littlehampton,Mid Kent Electrical / Invicta Valves — Littlehampton pump station,MID KENT ELECTRICAL ENGINEERING COMPANY LIMITED,85000,Confirmed single-site value.,2020-01,Littlehampton,ARUN,https://www.waterbriefing.org/home/company-news/item/10258-new-valves-strengthen-southern-water-pumping-station-resilience,high,Two large valve replacements at Sea Road pumping station.
micro_trant_peel,Trant Engineering — Peel Common WWTW inlet + sludge dewatering,Trant Engineering,,No value published.,2014-01,Peel Common,SOLENT,https://waterprojectsonline.com/wp-content/uploads/case_studies/2014/Peel-Common-WwTW-2014.pdf,high,HISTORICAL — completed 2014 (AMP5). Not current AMP8 spend.
micro_sw_portsmouth_harbour,Southern Water — Portsmouth Harbour storm overflow reduction,,170000000,£170m confirmed for Portsmouth Harbour storm overflow reduction scheme. Source also mentions £208m in broader context including Budds Farm capacity — using the more specific £170m figure.,2026-02,Budds Farm; Portsmouth; Gosport; Fareham; Havant; Emsworth,CHICHESTER HARBOUR; LANGSTONE HARBOUR; PORTSMOUTH HARBOUR; SOLENT; WALLINGTON,https://www.southernwater.co.uk/latest-news/work-underway-on-170m-portsmouth-harbour-storm-overflow-reduction-scheme/,high,200+ roof separations completed. Part of £1.5bn Clean Rivers and Seas Plan.
micro_sw_chichester,Southern Water — Chichester Harbour storm overflow scheme,,,No programme total published. Individual works described but not costed.,2025-11,Bosham; Thornham; Funtington; Emsworth,CHICHESTER HARBOUR,https://www.southernwater.co.uk/latest-news/work-underway-to-cut-storm-overflows-and-protect-chichester-harbour/,high,"9.9km sewer sealing Funtington, wetland at Bosham WWTW by 2027, surface water sewer Emsworth."
micro_sw_kent_5town,Southern Water — Kent 5-town storm overflow programme,,3000000,£3m confirmed for Sittingbourne sewer sealing only. Other towns' values not published. Total programme value unknown.,2025-08,Queenborough; Sittingbourne; Faversham; Herne Bay; Whitstable,FAVERSHAM CREEK; NORTH SEA; SWALE,https://www.southernwater.co.uk/latest-news/cutting-storm-overflows-in-kent/,medium,Sittingbourne: £3m sewer sealing (confirmed). Queenborough: storage at treatment works. Herne Bay: new surface water line. Faversham: SuDS. Whitstable: domestic separation. Only Sittingbourne has a confirmed value.
micro_sw_kent_tw,Southern Water — Tunbridge Wells/Bidborough/Tonbridge storm overflow,,,No value published. Investigation stage.,2025-09,Tunbridge Wells; Bidborough; Tonbridge,MEDWAY,https://www.southernwater.co.uk/latest-news/new-storm-overflow-reduction-scheme-for-kent-communities/,high,"Nature-based interventions, storage, engineering. Protecting River Teise/Medway."
micro_sw_sussex_storm,Southern Water — Sussex storm overflow progress,,,No site-specific values published.,2025-06,Burgess Hill; Bognor Regis; Hurstpierpoint; Fairlight; Lavant,ADUR; ENGLISH CHANNEL; LAVANT,https://www.sussexexpress.co.uk/news/environment/southern-water-marks-early-progress-in-ps15-billion-storm-overflow-reduction-plan-in-sussex-6019079,high,"4,456 properties surveyed. 2km sewer sealing Fairlight. 341 water butts. Lavant wetland operational."
micro_sw_medway_8m,Southern Water — River Medway storm overflow investment,,8000000,"Confirmed. ""Over £8 million"" per source.",2025-01,,MEDWAY,https://www.southernwater.co.uk/our-region/improvements-in-your-area/kent/,medium,No specific sites named. General Medway catchment investment.
micro_sw_alm,Southern Water — Andover Link Main pipeline,,84000000,Confirmed. £84m including VAT per tender notice.,2025-09,Andover; Winchester,ITCHEN; TEST,https://www.constructionnews.co.uk/contracts/southern-water-tenders-84m-pipeline-29-09-2025/,high,"25km pipeline, booster stations. Single project connecting both towns. 15Ml/d by March 2030."
micro_sw_swalecliffe,Southern Water — Swalecliffe WWTW upgrade,,25000000,"£25m confirmed in kentonline.co.uk headline. Earlier search result mentioned ""over £100m"" which may refer to wider Canterbury/Whitstable programme — using the specific confirmed figure.",2025-01,Swalecliffe,NORTH SEA,https://www.kentonline.co.uk/whitstable/news/water-works-upgrade-to-cut-sea-sewage-releases-by-third-291805/,medium,"New outfall pipe, expanded treatment capacity. Reduce Canterbury/Whitstable storm overflows."
micro_sw_iow,Southern Water — Isle of Wight programme,,99000000,"£99m stated as ""committed for future work across the Isle of Wight"". Sandown WWTW is £17m of this (confirmed separately on onthewight.com). Other sites not individually costed. Possible overlap with other line items.",2025-01,Sandown; Ryde; Cowes; Newport; Calbourne,IOW STREAMS; MEDINA; YAR,https://www.southernwater.co.uk/our-region/improvements-in-your-area/isle-of-wight/,medium,"Sandown: £17m WWTW + water recycling. Calbourne: £4.5m WWTW (completed). Ryde/Cowes/Newport: network resilience, no individual values."
micro_sw_portsmouth_suds,Southern Water — Portsmouth SuDS and Budds Farm expansion plan,,103000000,£103m total programme. No per-element breakdown.,2024-01,Eastney; Fort Cumberland; Budds Farm,LANGSTONE HARBOUR; PORTSMOUTH HARBOUR,https://www.portsmouth.co.uk/news/environment/southern-water-unveils-ps103m-plan-to-tackle-sewage-discharges-in-portsmouth-including-installing-water-butts-and-new-drainage-systems-4412179,medium,"7,000 water butts, 7,000 SuDS planned. Overlaps with the £208m Portsmouth Harbour scheme (different announcement, same geography)."
micro_sw_littlehampton_wrp,Southern Water — Littlehampton Water Recycling Plant,,,No value published.,2024-10,Littlehampton; Ford,ARUN,https://havantmatters.org/2024/10/20/littlehampton-effluent-recycling-plant/,high,15Ml/day recycled effluent from Ford WWTW to Pulborough area by 2030-31.
micro_sw_slm,Southern Water — Southampton Link Main pipeline,,100000000,"Confirmed. ""Over £100 million"" per source.",2025-09,Otterbourne,ITCHEN,https://smartwatermagazine.com/news/southern-water/ps100-million-water-pipeline-project-build-resilience-supplies-southampton,high,"19km pipeline connecting Otterbourne, Yew Hill, Rownhams. Single project. Completion 2028."
micro_sw_new_forest,Southern Water — New Forest WWTW upgrades,,,"Individual confirmed values: Lyndhurst £2.3m, Sway £6.5m. Pennington not individually costed. Source headline says ""£30m"" but this may include future uncommitted phases. Boldre (£2.5m) is a separate GTb contract.",2024-10,Lyndhurst; Sway; Pennington,BEAULIEU; LYMINGTON,https://www.southernwater.co.uk/latest-news/30m-upgrade-boost-for-new-forest-wastewater-treatment-works/,medium,"Source headline says £30m for New Forest but individual confirmed values total £11.3m. The £30m may include uncommitted future phases. Boldre is separate (£2.5m, see GT entry)."
micro_sw_pagham,Southern Water — Pagham WWTW capacity upgrade,,21000000,Confirmed single-site value.,2025-01,Pagham,ENGLISH CHANNEL,https://www.southernwater.co.uk/latest-news/west-sussex-wastewater-works-gets-21m-upgrade-to-support-new-homes/,high,New concrete tanks for treatment and stormwater storage. Completed.
micro_sw_bognor,Southern Water — Bognor Regis storm overflow scheme,,4000000,Confirmed.,2025-08,Bognor Regis,ALDINGBOURNE,https://www.watermagazine.co.uk/2025/08/04/southern-water-4m-scheme-to-improve-water-quality-in-bognor-regis/,high,Bognor Main storm overflow. Nature-based and engineering solutions.
micro_sw_hastings_pumps,Southern Water — Hastings/Bexhill pumping station upgrades,,9300000,Confirmed total for Rock-a-Nore + Galley Hill.,2025-01,Rock-a-Nore; Galley Hill,ENGLISH CHANNEL,https://www.southernwater.co.uk/our-region/improvements-in-your-area/east-sussex/hastings/,high,Rock-a-Nore and Galley Hill pumping stations. Storm-related flooding prevention.
micro_sw_bursledon,Southern Water — Bursledon sewer to Peel Common,,3400000,Confirmed.,2024-01,Bursledon,HAMBLE,https://www.southernwater.co.uk/our-region/improvements-in-your-area/hampshire/,high,3.5km sewer from Bursledon WWTW to School Lane PS. Bursledon works decommissioned.
micro_sw_dover,Southern Water — Dover and Folkestone WWTW (Operation Seaclean),,124000000,Historical. Total scheme cost. Completed early 2000s.,2002-01,Dover; Folkestone,DOUR; ENGLISH CHANNEL,https://waterprojectsonline.com/wp-content/uploads/case_studies/2002/Dover-Folkestone-WwTW-Upgrade-2002.pdf,high,HISTORICAL — completed ~2002. Included here for completeness. Not current spend.
micro_sw_beult,Southern Water — Beult habitat restoration,,3000000,Confirmed.,2025-01,,BEULT,https://www.southernwater.co.uk/our-region/improvements-in-your-area/kent/,medium,River Beult habitat restoration. No specific site named.
micro_sw_peacehaven,Southern Water — Peacehaven WWTW,,300000000,Confirmed. HISTORICAL — completed 2013.,2013-10,Peacehaven,ENGLISH CHANNEL,https://www.brightonandhovenews.org/2013/10/15/southern-water-opens-300m-plant-to-treat-brighton-and-hoves-sewage/,high,HISTORICAL — opened October 2013. Treats 95 million litres/day from Brighton to Peacehaven. Included for completeness.
micro_sw_aylesford,Southern Water — Aylesford Water Recycling Plant,,,No value published. Planning/development stage.,2025-01,Aylesford,MEDWAY,https://www.southernwater.co.uk/about-us/our-plans/water-recycling/aylesford-water-recycling-project/,high,Advanced purification of treated wastewater for drought resilience. Planning stage.
micro_sw_lewes,Southern Water — Lewes area investment,,,Source page states £470m for all of East Sussex. No Lewes-specific figure published. The £37m was not found on the source page.,2025-01,Lewes; Newhaven,OUSE,https://www.southernwater.co.uk/our-region/improvements-in-your-area/east-sussex/,medium,"Neaves Lane WWTW flood risk reduction, bathing water quality improvement."
micro_sw_kent_storm_tank,Southern Water — Kent WWTW storm tank,,1000000,Confirmed. £1m.,2024-11,,MEDWAY,https://www.southernwater.co.uk/latest-news/new-1m-storm-tank-at-kent-wastewater-treatment-works-will-help-reduce-storm-overflows/,low,Source does not name which Kent WWTW.
fw_sdp,AMP8 Strategic Delivery Partner Framework,,3700000000,~£3.7bn total across all SDP partners. 7-year initial term with extension options.,2024-08,,,https://www.newcivilengineer.com/latest/southern-water-awards-amp8-capital-delivery-frameworks-contracts-16-08-2024/,high,"Framework umbrella. Partners: Costain/MWH (CMDP+), Kier, Galliford Try (non-infra), Morrison Water Services (infra). Individual call-offs listed separately."
fw_lcdr_water,AMP8 Low Complexity Delivery Route — Water,,,"Part of wider LCDR framework. Clancy Docwra valued at £400m, ULIS at £210m.",2024-08,,,https://www.newcivilengineer.com/latest/southern-water-awards-amp8-capital-delivery-frameworks-contracts-16-08-2024/,high,"Partners: Clancy Docwra, United Living Infrastructure Services, Barhale."
fw_lcdr_waste,AMP8 Low Complexity Delivery Route — Wastewater,,,No separate wastewater LCDR total published.,2024-08,,,https://www.newcivilengineer.com/latest/southern-water-awards-amp8-capital-delivery-frameworks-contracts-16-08-2024/,high,"Partners: Clancy Docwra, J Browne Construction, Morrison Utility Services."
fw_profservices,AMP8 Professional Services Framework,,240000000,£240m total across 3 lots. 5-year term with 3-year extension option.,2024-06,,,https://www.newcivilengineer.com/latest/southern-water-names-seven-global-consultancies-on-amp8-professional-services-framework-07-06-2024/,high,"Lot 1 (£80m): Mott MacDonald, Aecom, Arup. Lot 2 (£64m): KPMG, Aecom, Turner & Townsend. Lot 3 (£96m): Mott MacDonald, Stantec, WSP/Binnies."
fw_clancy_network,Clancy — Network Services Contract,Clancy Docwra Limited,250000000,£250m confirmed on newcivilengineer.com.,2025-03,,,https://www.newcivilengineer.com/latest/clancy-secures-250m-water-services-contract-with-southern-water-10-03-2025/,high,"Commencing October 2025. Reactive/planned: emergency response, leakage reduction, meter installations, new housing connections."
fw_medium_noninfra,Medium Non-Infrastructure Works Framework (AMP7→8 bridge),,600000000,£600m confirmed on newcivilengineer.com.,2023-03,Otterbourne,ITCHEN,https://www.newcivilengineer.com/latest/southern-water-appoints-5-contractors-to-600m-framework-08-03-2023/,high,"Partners: Barhale, Binnies UK/WGM JV, Bridges Electrical, Galliford Try, Ward & Burke. 4-year initial with 4-year extension. Otterbourne WTW named."
fw_havant_thicket,Havant Thicket Reservoir — Main Works,,,No total published. Pipeline contract £41m (Ward & Burke). Reservoir MRW+ £170m (Future Water MJJV).,2023-01,Havant Thicket,SOLENT,https://www.newcivilengineer.com/latest/ghd-details-meticulously-planned-and-executed-civils-at-havant-thicket-reservoir-02-07-2024/,high,Future Water MJJV (Mackley + Jones Bros). GHD engineering consultant. Joint Portsmouth Water / Southern Water project.
